Datum,Durchschnittliche_Watchtime_min,Aufrufe,Kommentare,Clickrate_%
2026-02-01,2.4,792,0,6.12
2026-02-02,2.16,900,0,6.0
2026-02-03,2.76,1188,0,5.88
2026-02-04,2.52,1440,0,6.36
2026-02-05,2.4,1728,2,6.24
2026-02-06,3.0,2124,2,6.0
2026-02-07,2.28,2520,2,5.76
2026-02-08,2.64,2952,2,6.12
2026-02-09,2.4,3420,2,6.36
2026-02-10,2.04,3960,2,5.88
2026-02-11,3.0,4680,3,6.0
2026-02-12,2.4,5400,3,6.24
2026-02-13,2.88,6120,3,6.48
2026-02-14,2.76,7020,3,6.36
2026-02-15,2.52,7920,3,6.24
2026-02-16,2.16,9000,4,6.0
2026-02-17,3.12,10080,4,6.12
2026-02-18,2.76,11160,4,6.24
2026-02-19,2.28,12240,5,6.36
2026-02-20,2.4,13320,5,6.0
2026-02-21,2.88,14400,6,5.88
2026-02-22,2.52,15480,8,6.24
2026-02-23,2.76,16560,9,6.36
2026-02-24,2.16,17460,10,6.0
2026-02-25,2.64,18000,12,6.48
2026-02-26,2.28,17640,10,5.88
2026-02-27,2.4,16920,9,6.12
2026-02-28,2.76,16200,8,6.36
2026-03-01,2.52,15480,8,6.0
2026-03-02,2.4,14760,6,5.88
2026-03-03,2.28,14040,5,6.24
2026-03-04,2.64,13320,5,6.12
2026-03-05,2.76,12600,4,6.0
2026-03-06,2.16,11880,4,6.48
2026-03-07,2.52,11160,4,6.24
2026-03-08,2.4,10440,3,6.36
2026-03-09,2.88,9720,3,6.0
2026-03-10,2.28,9000,3,5.76
2026-03-11,2.52,8280,3,6.24
2026-03-12,2.4,7560,2,6.12
2026-03-13,2.64,6840,2,6.0
2026-03-14,2.04,6120,2,5.88
2026-03-15,2.76,5580,2,6.12
2026-03-16,2.52,5040,2,6.36
2026-03-17,2.4,4680,2,6.0
2026-03-18,2.16,4320,0,6.24
2026-03-19,2.4,4140,0,5.88
2026-03-20,2.64,3960,0,6.12
2026-03-21,2.76,3780,0,6.48
2026-03-22,2.28,3600,0,6.36
2026-03-23,2.4,3420,0,5.76
2026-03-24,2.52,3240,0,6.24
2026-03-25,2.88,3060,0,6.36
2026-03-26,2.16,2880,0,5.88
2026-03-27,2.52,2772,0,6.12
2026-03-28,2.4,2664,0,6.0
2026-03-29,2.76,2520,0,6.12
2026-03-30,2.28,2448,0,6.24
2026-03-31,2.64,2340,0,6.36
2026-04-01,2.52,2268,0,5.88
2026-04-02,2.28,2160,0,6.0
2026-04-03,2.4,2088,0,6.24
2026-04-04,2.64,1980,0,6.12
2026-04-05,2.52,1872,0,5.76
2026-04-06,2.16,1800,0,6.36
2026-04-07,2.4,1692,0,6.24
2026-04-08,2.76,1584,0,6.0
2026-04-09,2.52,1476,0,6.12
2026-04-10,2.4,1404,0,6.0
2026-04-11,2.28,1332,0,6.36
2026-04-12,2.76,1260,0,5.88
2026-04-13,2.4,1188,0,6.24
2026-04-14,2.16,1116,0,6.0
2026-04-15,2.52,1080,0,6.12
2026-04-16,2.64,1008,0,6.36
2026-04-17,2.28,936,0,6.0
2026-04-18,2.4,900,0,5.88
2026-04-19,2.76,864,0,6.24
2026-04-20,2.04,792,0,6.0
2026-04-21,2.52,720,0,6.12
2026-04-22,2.88,648,0,5.88
2026-04-23,2.4,612,0,6.24
2026-04-24,2.28,540,0,6.0
2026-04-25,2.4,504,0,6.36
2026-04-26,2.76,468,0,5.88
2026-04-27,2.64,432,0,6.24
2026-04-28,2.16,396,0,6.0
2026-04-29,2.4,360,0,5.76
2026-04-30,2.52,324,0,6.12
